cmip6-id, cmip6-label, cmip6-type
cmip6.land.grid.horizontal.description, Land > Grid > Horizontal > Description, property
cmip6.land.grid.horizontal.matches_atmosphere_grid, Land > Grid > Horizontal > Matches Atmosphere Grid, property
cmip6.land.grid.vertical.description, Land > Grid > Vertical > Description, property
cmip6.land.grid.vertical.number_of_levels, Land > Grid > Vertical > Number Of Levels, property
, , 
cmip6.land.key_properties.basic_approximations, Land > Key Properties > Basic Approximations, property
cmip6.land.key_properties.land_atmosphere_flux_exchanges, Land > Key Properties > Land Atmosphere Flux Exchanges, property
cmip6.land.key_properties.atmospheric_coupling, Land > Key Properties > Atmospheric Coupling, property
cmip6.land.key_properties.land_cover, Land > Key Properties > Land Cover, property
cmip6.land.key_properties.prognostic_variables, Land > Key Properties > Prognostic Variables, property
cmip6.land.key_properties.tiling, Land > Key Properties > Tiling, property
cmip6.land.key_properties.conservation_properties.energy, Land > Key Properties > Conservation Properties > Energy, property
cmip6.land.key_properties.conservation_properties.water, Land > Key Properties > Conservation Properties > Water, property
cmip6.land.key_properties.conservation_properties.carbon, Land > Key Properties > Conservation Properties > Carbon, property
cmip6.land.key_properties.conservation_properties.energy, Land > Key Properties > Conservation Properties > Energy, property
cmip6.land.key_properties.timestepping_framework.timestep_dependent_on_atmosphere, Land > Key Properties > Timestepping Framework > Timestep Dependent On Atmosphere, property
cmip6.land.key_properties.timestepping_framework.timestepping_method, Land > Key Properties > Timestepping Framework > Timestepping Method, property
cmip6.land.key_properties.software_properties.repository, Land > Key Properties > Software Properties > Repository, property
cmip6.land.key_properties.software_properties.code_version, Land > Key Properties > Software Properties > Code Version, property
cmip6.land.key_properties.software_properties.code_languages, Land > Key Properties > Software Properties > Code Languages, property
, , 
cmip6.land.soil.soil_map.description, Land > Soil > Soil Map > Description, property
cmip6.land.soil.soil_map.structure, Land > Soil > Soil Map > Structure, property
cmip6.land.soil.soil_map.texture, Land > Soil > Soil Map > Texture, property
cmip6.land.soil.soil_map.albedo, Land > Soil > Soil Map > Albedo, property
cmip6.land.soil.soil_map.water_table, Land > Soil > Soil Map > Water Table, property
cmip6.land.soil.soil_map.soil_depth, Land > Soil > Soil Map > Soil Depth, property
cmip6.land.soil.hydrology.description, Land > Soil > Hydrology > Description, property
cmip6.land.soil.hydrology.tiling, Land > Soil > Hydrology > Tiling, property
cmip6.land.soil.hydrology.number_of_ground_water_layers, Land > Soil > Hydrology > Number Of Ground Water Layers, property
cmip6.land.soil.hydrology.water_storage_method, Land > Soil > Hydrology > Water Storage Method, property
cmip6.land.soil.hydrology.freezing.number_of_ground_ice_layers, Land > Soil > Hydrology > Freezing > Number Of Ground Ice Layers, property
cmip6.land.soil.hydrology.freezing.ice_storage_method, Land > Soil > Hydrology > Freezing > Ice Storage Method, property
cmip6.land.soil.hydrology.freezing.permafrost, Land > Soil > Hydrology > Freezing > Permafrost, property
cmip6.land.soil.hydrology.drainage.description, Land > Soil > Hydrology > Drainage > Description, property
cmip6.land.soil.hydrology.runoff.description, Land > Soil > Hydrology > Runoff > Description, property
cmip6.land.soil.heat_treatment.description, Land > Soil > Heat Treatment > Description, property
cmip6.land.soil.heat_treatment.tiling, Land > Soil > Heat Treatment > Tiling, property
cmip6.land.soil.heat_treatment.number_of_ground_heat_layers, Land > Soil > Heat Treatment > Number Of Ground Heat Layers, property
cmip6.land.soil.heat_treatment.vertical_discretisation, Land > Soil > Heat Treatment > Vertical Discretisation, property
cmip6.land.soil.heat_treatment.heat_storage, Land > Soil > Heat Treatment > Heat Storage, property
cmip6.land.soil.heat_treatment.processes, Land > Soil > Heat Treatment > Processes, property
, , 
cmip6.land.snow.tiling, Land > Snow > Tiling, property
cmip6.land.snow.number_of_snow_layers, Land > Snow > Number Of Snow Layers, property
cmip6.land.snow.albedo, Land > Snow > Albedo, property
cmip6.land.snow.density, Land > Snow > Density, property
cmip6.land.snow.water_equivalent, Land > Snow > Water Equivalent, property
cmip6.land.snow.heat_content, Land > Snow > Heat Content, property
cmip6.land.snow.temperature, Land > Snow > Temperature, property
cmip6.land.snow.liquid_water_content, Land > Snow > Liquid Water Content, property
cmip6.land.snow.snow_cover_fractions, Land > Snow > Snow Cover Fractions, property
cmip6.land.snow.processes, Land > Snow > Processes, property
, , 